(50000, 7)
(50000, 7)
char_to_id:  {'6': 0, '4': 1, '7': 2, '+': 3, '0': 4, ' ': 5, '_': 6, '8': 7, '*': 8, '9': 9, '3': 10, '2': 11, '5': 12, '1': 13}
id_to_char:  {0: '6', 1: '4', 2: '7', 3: '+', 4: '0', 5: ' ', 6: '_', 7: '8', 8: '*', 9: '9', 10: '3', 11: '2', 12: '5', 13: '1'}
| 에폭 1 |  반복 1 / 351 | 시간 0[s] | 손실 2.64
| 에폭 1 |  반복 21 / 351 | 시간 2[s] | 손실 2.56
| 에폭 1 |  반복 41 / 351 | 시간 5[s] | 손실 2.01
| 에폭 1 |  반복 61 / 351 | 시간 7[s] | 손실 1.84
| 에폭 1 |  반복 81 / 351 | 시간 8[s] | 손실 1.77
| 에폭 1 |  반복 101 / 351 | 시간 10[s] | 손실 1.73
| 에폭 1 |  반복 121 / 351 | 시간 12[s] | 손실 1.62
| 에폭 1 |  반복 141 / 351 | 시간 13[s] | 손실 1.56
| 에폭 1 |  반복 161 / 351 | 시간 16[s] | 손실 1.55
| 에폭 1 |  반복 181 / 351 | 시간 18[s] | 손실 1.54
| 에폭 1 |  반복 201 / 351 | 시간 20[s] | 손실 1.55
| 에폭 1 |  반복 221 / 351 | 시간 23[s] | 손실 1.54
| 에폭 1 |  반복 241 / 351 | 시간 25[s] | 손실 1.53
| 에폭 1 |  반복 261 / 351 | 시간 27[s] | 손실 1.53
| 에폭 1 |  반복 281 / 351 | 시간 29[s] | 손실 1.52
| 에폭 1 |  반복 301 / 351 | 시간 31[s] | 손실 1.50
| 에폭 1 |  반복 321 / 351 | 시간 32[s] | 손실 1.51
| 에폭 1 |  반복 341 / 351 | 시간 34[s] | 손실 1.51
| 에폭 1 |  반복 1 / 351 | 시간 0[s] | 손실 2.64
| 에폭 1 |  반복 21 / 351 | 시간 1[s] | 손실 2.61
| 에폭 1 |  반복 41 / 351 | 시간 3[s] | 손실 2.51
| 에폭 1 |  반복 61 / 351 | 시간 5[s] | 손실 2.15
| 에폭 1 |  반복 81 / 351 | 시간 7[s] | 손실 1.93
| 에폭 1 |  반복 101 / 351 | 시간 9[s] | 손실 1.90
| 에폭 1 |  반복 121 / 351 | 시간 11[s] | 손실 1.87
| 에폭 1 |  반복 141 / 351 | 시간 12[s] | 손실 1.86
| 에폭 1 |  반복 161 / 351 | 시간 14[s] | 손실 1.84
| 에폭 1 |  반복 181 / 351 | 시간 16[s] | 손실 1.81
| 에폭 1 |  반복 201 / 351 | 시간 19[s] | 손실 1.80
| 에폭 1 |  반복 221 / 351 | 시간 21[s] | 손실 1.81
| 에폭 1 |  반복 241 / 351 | 시간 22[s] | 손실 1.79
| 에폭 1 |  반복 261 / 351 | 시간 23[s] | 손실 1.78
| 에폭 1 |  반복 281 / 351 | 시간 25[s] | 손실 1.73
| 에폭 1 |  반복 301 / 351 | 시간 27[s] | 손실 1.69
| 에폭 1 |  반복 321 / 351 | 시간 29[s] | 손실 1.60
| 에폭 1 |  반복 341 / 351 | 시간 30[s] | 손실 1.56
| 에폭 1 |  반복 1 / 351 | 시간 0[s] | 손실 2.64
| 에폭 1 |  반복 21 / 351 | 시간 1[s] | 손실 2.61
| 에폭 1 |  반복 41 / 351 | 시간 2[s] | 손실 2.48
| 에폭 1 |  반복 61 / 351 | 시간 4[s] | 손실 2.10
| 에폭 1 |  반복 81 / 351 | 시간 5[s] | 손실 1.94
| 에폭 1 |  반복 101 / 351 | 시간 7[s] | 손실 1.90
| 에폭 1 |  반복 121 / 351 | 시간 9[s] | 손실 1.85
| 에폭 1 |  반복 141 / 351 | 시간 10[s] | 손실 1.85
| 에폭 1 |  반복 161 / 351 | 시간 12[s] | 손실 1.82
| 에폭 1 |  반복 181 / 351 | 시간 13[s] | 손실 1.80
| 에폭 1 |  반복 201 / 351 | 시간 15[s] | 손실 1.78
| 에폭 1 |  반복 221 / 351 | 시간 17[s] | 손실 1.69
| 에폭 1 |  반복 241 / 351 | 시간 18[s] | 손실 1.63
| 에폭 1 |  반복 261 / 351 | 시간 20[s] | 손실 1.58
| 에폭 1 |  반복 281 / 351 | 시간 21[s] | 손실 1.55
| 에폭 1 |  반복 301 / 351 | 시간 23[s] | 손실 1.53
| 에폭 1 |  반복 321 / 351 | 시간 25[s] | 손실 1.53
| 에폭 1 |  반복 341 / 351 | 시간 28[s] | 손실 1.52
| 에폭 1 |  반복 1 / 351 | 시간 0[s] | 손실 2.64
| 에폭 1 |  반복 21 / 351 | 시간 1[s] | 손실 2.62
| 에폭 1 |  반복 41 / 351 | 시간 3[s] | 손실 2.51
| 에폭 1 |  반복 61 / 351 | 시간 5[s] | 손실 2.12
| 에폭 1 |  반복 81 / 351 | 시간 7[s] | 손실 1.93
| 에폭 1 |  반복 101 / 351 | 시간 10[s] | 손실 1.90
| 에폭 1 |  반복 121 / 351 | 시간 12[s] | 손실 1.89
| 에폭 1 |  반복 141 / 351 | 시간 14[s] | 손실 1.85
| 에폭 1 |  반복 161 / 351 | 시간 17[s] | 손실 1.83
| 에폭 1 |  반복 181 / 351 | 시간 18[s] | 손실 1.81
| 에폭 1 |  반복 201 / 351 | 시간 20[s] | 손실 1.79
| 에폭 1 |  반복 221 / 351 | 시간 21[s] | 손실 1.73
| 에폭 1 |  반복 241 / 351 | 시간 23[s] | 손실 1.65
| 에폭 1 |  반복 261 / 351 | 시간 25[s] | 손실 1.62
| 에폭 1 |  반복 281 / 351 | 시간 27[s] | 손실 1.58
| 에폭 1 |  반복 301 / 351 | 시간 30[s] | 손실 1.57
| 에폭 1 |  반복 321 / 351 | 시간 32[s] | 손실 1.54
| 에폭 1 |  반복 341 / 351 | 시간 35[s] | 손실 1.52
| 에폭 1 |  반복 1 / 351 | 시간 0[s] | 손실 2.64
| 에폭 1 |  반복 21 / 351 | 시간 2[s] | 손실 2.61
| 에폭 1 |  반복 41 / 351 | 시간 3[s] | 손실 2.47
| 에폭 1 |  반복 61 / 351 | 시간 5[s] | 손실 2.05
| 에폭 1 |  반복 81 / 351 | 시간 7[s] | 손실 1.91
| 에폭 1 |  반복 101 / 351 | 시간 9[s] | 손실 1.89
| 에폭 1 |  반복 121 / 351 | 시간 10[s] | 손실 1.86
| 에폭 1 |  반복 141 / 351 | 시간 12[s] | 손실 1.86
| 에폭 1 |  반복 161 / 351 | 시간 14[s] | 손실 1.84
| 에폭 1 |  반복 181 / 351 | 시간 15[s] | 손실 1.83
| 에폭 1 |  반복 201 / 351 | 시간 17[s] | 손실 1.78
| 에폭 1 |  반복 221 / 351 | 시간 18[s] | 손실 1.74
| 에폭 1 |  반복 241 / 351 | 시간 20[s] | 손실 1.66
| 에폭 1 |  반복 261 / 351 | 시간 21[s] | 손실 1.62
| 에폭 1 |  반복 281 / 351 | 시간 23[s] | 손실 1.58
| 에폭 1 |  반복 301 / 351 | 시간 25[s] | 손실 1.54
| 에폭 1 |  반복 321 / 351 | 시간 27[s] | 손실 1.54
| 에폭 1 |  반복 341 / 351 | 시간 29[s] | 손실 1.52
검증 정확도 0.040%
| 에폭 2 |  반복 1 / 351 | 시간 0[s] | 손실 1.50
| 에폭 2 |  반복 21 / 351 | 시간 1[s] | 손실 1.57
| 에폭 2 |  반복 41 / 351 | 시간 3[s] | 손실 1.53
| 에폭 2 |  반복 61 / 351 | 시간 5[s] | 손실 1.50
| 에폭 2 |  반복 81 / 351 | 시간 6[s] | 손실 1.50
| 에폭 2 |  반복 101 / 351 | 시간 8[s] | 손실 1.50
| 에폭 2 |  반복 121 / 351 | 시간 10[s] | 손실 1.49
| 에폭 2 |  반복 141 / 351 | 시간 12[s] | 손실 1.50
| 에폭 2 |  반복 161 / 351 | 시간 13[s] | 손실 1.51
| 에폭 2 |  반복 181 / 351 | 시간 15[s] | 손실 1.49
| 에폭 2 |  반복 201 / 351 | 시간 17[s] | 손실 1.49
| 에폭 2 |  반복 221 / 351 | 시간 19[s] | 손실 1.49
| 에폭 2 |  반복 241 / 351 | 시간 21[s] | 손실 1.50
| 에폭 2 |  반복 261 / 351 | 시간 23[s] | 손실 1.48
| 에폭 2 |  반복 281 / 351 | 시간 25[s] | 손실 1.49
| 에폭 2 |  반복 301 / 351 | 시간 27[s] | 손실 1.48
| 에폭 2 |  반복 321 / 351 | 시간 29[s] | 손실 1.48
| 에폭 2 |  반복 341 / 351 | 시간 30[s] | 손실 1.46
| 에폭 2 |  반복 1 / 351 | 시간 0[s] | 손실 1.53
| 에폭 2 |  반복 21 / 351 | 시간 1[s] | 손실 1.53
| 에폭 2 |  반복 41 / 351 | 시간 4[s] | 손실 1.53
| 에폭 2 |  반복 61 / 351 | 시간 6[s] | 손실 1.51
| 에폭 2 |  반복 81 / 351 | 시간 8[s] | 손실 1.52
| 에폭 2 |  반복 101 / 351 | 시간 9[s] | 손실 1.53
| 에폭 2 |  반복 121 / 351 | 시간 11[s] | 손실 1.51
| 에폭 2 |  반복 141 / 351 | 시간 13[s] | 손실 1.50
| 에폭 2 |  반복 161 / 351 | 시간 15[s] | 손실 1.51
| 에폭 2 |  반복 181 / 351 | 시간 18[s] | 손실 1.51
| 에폭 2 |  반복 201 / 351 | 시간 20[s] | 손실 1.50
| 에폭 2 |  반복 221 / 351 | 시간 22[s] | 손실 1.50
| 에폭 2 |  반복 241 / 351 | 시간 25[s] | 손실 1.51
| 에폭 2 |  반복 261 / 351 | 시간 29[s] | 손실 1.49
| 에폭 2 |  반복 281 / 351 | 시간 32[s] | 손실 1.49
| 에폭 2 |  반복 301 / 351 | 시간 34[s] | 손실 1.47
| 에폭 2 |  반복 321 / 351 | 시간 38[s] | 손실 1.50
| 에폭 2 |  반복 341 / 351 | 시간 41[s] | 손실 1.49
