32-0   _32  
57-7   _50  
634-506_128 
50-88  _-38 
74-6   _68  
3-636  _-633
56-7   _49  
17-88  _-71 
47-229 _-182
645-6  _639 
8-5    _3   
578-4  _574 
68-29  _39  
967-28 _939 
6-3    _3   
5-2    _3   
47-760 _-713
552-8  _544 
270-48 _222 
5-6    _-1  
209-51 _158 
642-0  _642 
1-450  _-449
399-663_-264
3-0    _3   
908-87 _821 
689-9  _680 
90-24  _66  
963-623_340 
5-7    _-2  
522-7  _515 
6-7    _-1  
3-2    _1   
2-8    _-6  
5-135  _-130
707-1  _706 
4-795  _-791
49-4   _45  
27-708 _-681
24-1   _23  
860-3  _857 
443-85 _358 
142-237_-95 
136-1  _135 
52-850 _-798
4-2    _2   
83-155 _-72 
25-47  _-22 
23-63  _-40 
2-70   _-68 
1-693  _-692
8-892  _-884
4-932  _-928
65-37  _28  
915-41 _874 
88-94  _-6  
18-0   _18  
82-6   _76  
87-641 _-554
7-216  _-209
98-5   _93  
1-8    _-7  
7-407  _-400
91-31  _60  
872-0  _872 
28-35  _-7  
81-615 _-534
116-1  _115 
9-61   _-52 
3-4    _-1  
2-934  _-932
49-95  _-46 
6-803  _-797
188-63 _125 
550-35 _515 
827-785_42  
9-444  _-435
607-0  _607 
49-716 _-667
42-96  _-54 
1-801  _-800
8-48   _-40 
499-22 _477 
4-1    _3   
377-0  _377 
752-293_459 
0-922  _-922
7-33   _-26 
57-447 _-390
25-46  _-21 
26-220 _-194
6-8    _-2  
1-269  _-268
12-536 _-524
9-759  _-750
903-58 _845 
31-100 _-69 
9-7    _2   
59-14  _45  
5-570  _-565
656-686_-30 
48-2   _46  
58-55  _3   
17-81  _-64 
8-89   _-81 
140-475_-335
86-354 _-268
56-2   _54  
4-841  _-837
348-668_-320
58-40  _18  
127-877_-750
0-64   _-64 
0-82   _-82 
11-2   _9   
83-650 _-567
0-2    _-2  
901-84 _817 
578-63 _515 
5-89   _-84 
0-7    _-7  
6-73   _-67 
8-34   _-26 
272-59 _213 
10-23  _-13 
2-42   _-40 
655-0  _655 
5-3    _2   
0-816  _-816
778-76 _702 
3-1    _2   
696-9  _687 
82-881 _-799
598-59 _539 
4-805  _-801
8-8    _0   
284-1  _283 
499-788_-289
2-44   _-42 
52-934 _-882
95-87  _8   
38-727 _-689
779-91 _688 
382-9  _373 
266-97 _169 
898-57 _841 
27-5   _22  
389-7  _382 
86-212 _-126
11-53  _-42 
34-83  _-49 
174-6  _168 
52-0   _52  
0-818  _-818
7-15   _-8  
89-9   _80  
25-8   _17  
406-3  _403 
87-10  _77  
654-0  _654 
64-8   _56  
94-3   _91  
4-168  _-164
73-53  _20  
0-5    _-5  
973-1  _972 
63-51  _12  
2-902  _-900
58-823 _-765
39-0   _39  
750-46 _704 
18-166 _-148
0-263  _-263
57-646 _-589
199-61 _138 
4-769  _-765
326-81 _245 
853-57 _796 
24-3   _21  
25-7   _18  
102-7  _95  
3-8    _-5  
68-89  _-21 
51-37  _14  
419-269_150 
9-36   _-27 
62-256 _-194
28-1   _27  
250-83 _167 
671-8  _663 
364-131_233 
802-521_281 
0-36   _-36 
107-3  _104 
107-13 _94  
911-291_620 
447-1  _446 
4-968  _-964
53-51  _2   
0-671  _-671
1-71   _-70 
746-69 _677 
52-6   _46  
828-231_597 
6-854  _-848
322-546_-224
706-923_-217
96-234 _-138
77-730 _-653
77-2   _75  
24-7   _17  
924-922_2   
346-12 _334 
131-46 _85  
6-98   _-92 
