505*1  _505   
619*7  _4333  
739*579_427881
745*48 _35760 
9*56   _504   
5*5    _25    
1*834  _834   
521*17 _8857  
946*1  _946   
330*6  _1980  
60*56  _3360  
609*4  _2436  
38*949 _36062 
31*44  _1364  
80*39  _3120  
86*7   _602   
5*8    _40    
213*942_200646
5*165  _825   
0*6    _0     
630*8  _5040  
215*912_196080
33*3   _99    
14*3   _42    
0*2    _0     
58*6   _348   
4*66   _264   
279*80 _22320 
84*35  _2940  
4*0    _0     
39*46  _1794  
923*3  _2769  
7*893  _6251  
8*29   _232   
50*71  _3550  
7*782  _5474  
35*0   _0     
95*0   _0     
736*44 _32384 
9*69   _621   
98*25  _2450  
7*94   _658   
256*124_31744 
8*521  _4168  
89*29  _2581  
905*98 _88690 
953*8  _7624  
8*160  _1280  
25*4   _100   
88*57  _5016  
88*84  _7392  
0*88   _0     
4*243  _972   
7*0    _0     
69*68  _4692  
9*656  _5904  
593*1  _593   
986*48 _47328 
793*922_731146
510*45 _22950 
372*5  _1860  
60*7   _420   
30*99  _2970  
4*60   _240   
3*661  _1983  
9*6    _54    
171*89 _15219 
19*49  _931   
3*7    _21    
15*239 _3585  
6*11   _66    
951*99 _94149 
89*7   _623   
6*1    _6     
34*18  _612   
5*476  _2380  
513*7  _3591  
0*793  _0     
762*4  _3048  
1*3    _3     
63*699 _44037 
52*610 _31720 
7*4    _28    
70*759 _53130 
125*90 _11250 
7*657  _4599  
495*6  _2970  
97*9   _873   
470*64 _30080 
834*570_475380
33*823 _27159 
8*78   _624   
6*61   _366   
14*598 _8372  
9*15   _135   
981*94 _92214 
536*44 _23584 
2*4    _8     
6*44   _264   
677*149_100873
46*49  _2254  
8*1    _8     
720*953_686160
765*25 _19125 
2*12   _24    
0*94   _0     
224*413_92512 
9*953  _8577  
673*62 _41726 
48*67  _3216  
49*70  _3430  
5*6    _30    
219*7  _1533  
2*47   _94    
65*7   _455   
90*4   _360   
5*1    _5     
842*567_477414
6*3    _18    
3*943  _2829  
7*7    _49    
763*95 _72485 
66*2   _132   
615*20 _12300 
1*553  _553   
7*338  _2366  
811*21 _17031 
862*80 _68960 
9*753  _6777  
183*31 _5673  
215*3  _645   
495*3  _1485  
607*872_529304
4*5    _20    
656*40 _26240 
6*497  _2982  
912*338_308256
872*73 _63656 
6*6    _36    
2*91   _182   
2*273  _546   
3*248  _744   
6*69   _414   
0*407  _0     
686*306_209916
764*6  _4584  
2*14   _28    
475*57 _27075 
62*689 _42718 
9*1    _9     
65*399 _25935 
9*86   _774   
7*12   _84    
84*658 _55272 
8*22   _176   
25*90  _2250  
76*24  _1824  
709*9  _6381  
18*171 _3078  
0*8    _0     
80*57  _4560  
79*55  _4345  
9*281  _2529  
63*4   _252   
80*13  _1040  
9*5    _45    
1*34   _34    
4*8    _32    
532*54 _28728 
92*91  _8372  
354*665_235410
1*739  _739   
1*7    _7     
28*45  _1260  
922*0  _0     
1*1    _1     
5*739  _3695  
7*9    _63    
3*37   _111   
313*0  _0     
67*16  _1072  
