8+43   _51
6+8    _14
73+15  _88
1*653  _653   
20*13  _260   
3*518  _1554  
35+580 _615
2+32   _34
2+36   _38
62+68  _130
120+3  _123
83*10  _830   
689*534_367926
64*877 _56128 
5+238  _243
15*43  _645   
548*157_86036 
1+96   _97
1+5    _6
15+83  _98
1+435  _436
8*30   _240   
20*45  _900   
54+240 _294
45+2   _47
5*273  _1365  
85+549 _634
715*631_451165
6*6    _36    
55+4   _59
12+0   _12
17+773 _790
95*2   _190   
55+2   _57
1+66   _67
55+92  _147
91*12  _1092  
105*53 _5565  
80*29  _2320  
98+23  _121
3+9    _12
4*111  _444   
31*89  _2759  
90+53  _143
38*8   _304   
212+1  _213
5+747  _752
58*6   _348   
121+2  _123
445+7  _452
808+57 _865
27*123 _3321  
3*76   _228   
624+5  _629
54*199 _10746 
5*5    _25    
7*31   _217   
248*46 _11408 
520*6  _3120  
76+343 _419
12*2   _24    
25*4   _100   
7+784  _791
673+55 _728
321+4  _325
0+64   _64
129+298_427
9+7    _16
2*52   _104   
19+884 _903
94*67  _6298  
56*6   _336   
482*0  _0     
2*417  _834   
8*31   _248   
0*3    _0     
5*26   _130   
87*790 _68730 
166+116_282
261*82 _21402 
9+666  _675
561*995_558195
45*36  _1620  
80*515 _41200 
223+50 _273
38+7   _45
6*80   _480   
16*2   _32    
79*566 _44714 
826*66 _54516 
678*45 _30510 
755*4  _3020  
6*1    _6     
7+295  _302
42*1   _42    
87+80  _167
8+4    _12
58+53  _111
24+205 _229
99*6   _594   
5*65   _325   
8+739  _747
66+99  _165
558*132_73656 
178+86 _264
857+36 _893
6*902  _5412  
9*0    _0     
34*379 _12886 
924*945_873180
1+4    _5
76*74  _5624  
56*83  _4648  
2+265  _267
37+95  _132
14*2   _28    
50+315 _365
470+5  _475
727*14 _10178 
504+364_868
74+61  _135
28+4   _32
367*1  _367   
73*2   _146   
29*953 _27637 
76+9   _85
50*4   _200   
518+613_1131
30*0   _0     
52+773 _825
1+868  _869
986*546_538356
2+8    _10
9*369  _3321  
33+676 _709
75+29  _104
282*56 _15792 
53*729 _38637 
76*2   _152   
615*98 _60270 
3*884  _2652  
122*5  _610   
14+704 _718
804+396_1200
14+8   _22
8*51   _408   
6+716  _722
70+240 _310
6*7    _42    
413*212_87556 
4*47   _188   
0*5    _0     
5*534  _2670  
35+81  _116
7+15   _22
48*51  _2448  
190+4  _194
1*9    _9     
7*12   _84    
623+9  _632
80*137 _10960 
8*34   _272   
439*992_435488
211+6  _217
48+31  _79
829*69 _57201 
98*676 _66248 
4+876  _880
35+412 _447
88+44  _132
7+581  _588
7+200  _207
9+6    _15
417*308_128436
86*0   _0     
87*489 _42543 
970*0  _0     
1*70   _70    
921*19 _17499 
5*6    _30    
765+8  _773
45*3   _135   
22+277 _299
463*69 _31947 
789*6  _4734  
278*57 _15846 
91+0   _91
81*9   _729   
111+5  _116
31+35  _66
901*61 _54961 
96*73  _7008  
